models,all,person,no person,animal,electronic,sports,mean context
aim,0.6980397107935606,0.7073472330195371,0.682951727395662,0.6815848102253228,0.6831325503424339,0.7299211405115474,0.6971628620480107
cas,0.6920522253080704,0.7038514934266956,0.6729249906736681,0.667085782089478,0.6706378683284988,0.7280632978299258,0.6891026096093894
covsal,0.7467742805433631,0.7540057158460864,0.7350517433157904,0.7334415153211561,0.7262567043039055,0.7671423749577351,0.7437787223813395
gbvs,0.7494653778358075,0.7587108898108106,0.7344779163184338,0.7343440769943896,0.7285487561359228,0.7832316781372707,0.7481297825387725
icf,0.7015675258445947,0.7111406537133781,0.6860489817204618,0.6799003419687586,0.6829791325307416,0.7176500172036435,0.6965477754969297
ik,0.6630077090365447,0.673263398504556,0.6463826966357684,0.6564055079041251,0.6520148962559839,0.6881333911447182,0.6632012665802828
sun,0.6032644236631264,0.5994305888706709,0.6094792716424753,0.5604256692535401,0.5894769956333629,0.5957897310656368,0.5929777800214687
dg,0.7600104365634036,0.7738745733833654,0.7375359410868342,0.7492712530637374,0.7389963632041983,0.7844945216733584,0.7573638481624828
mean model,0.7017727111985589,0.7102030683218875,0.6881066585986368,0.6828073696025634,0.684005408341881,0.7243032690654796,0.6985330808548345
