models,all,person,no person,animal,electronic,sports,mean context
aim,0.5424946091283346,0.5270657094311616,0.5675056675848044,0.4751019722090359,0.5587679584738737,0.48895269706287026,0.5266481023150135
cas,0.5304741544420514,0.5115031075598787,0.5612272199142048,0.4611045586444262,0.5408696674453598,0.49740847200736327,0.5170978633355473
covsal,0.5503146025683112,0.555509682702398,0.5418931042456864,0.522583967228353,0.5438655978413565,0.5186009602850371,0.5387946524785237
gbvs,0.5885420456996746,0.5617834648915696,0.6319191135359714,0.533836499102428,0.6024384477487567,0.5312719628582986,0.5749652556394499
icf,0.5526607345312977,0.5404062636825014,0.5725258767493461,0.4836361063053618,0.5541540082558967,0.5041555687945426,0.5345897597198245
ik,0.4969245897308929,0.48003980272739183,0.5242957181365682,0.44318869850106646,0.5198859891411111,0.4510639308215932,0.48589978817643725
sun,0.4483391507607589,0.4206494964206404,0.4932255377963193,0.37673345010827547,0.4697255067111017,0.3550333286687294,0.4272844117443042
mean model,0.5299642695516172,0.5138510753450775,0.5560846054232715,0.47088360744270663,0.5413867393739222,0.4780695600712049,0.5150399762013
