models,all,person,no person,animal,electronic,sports,mean context
aim,0.5292561726869481,0.5049812110817438,0.568607163078543,0.47223201653037933,0.5357642969734119,0.4784405537999552,0.5148802356918303
cas,0.5214730183958728,0.496486464946081,0.5619775366197461,0.45922004011383916,0.525020353464024,0.4902740177196741,0.5090752385432061
covsal,0.5283756518245669,0.5209761040216422,0.5403707082629924,0.5162407866522629,0.5072510411263684,0.5027438391192256,0.519326355167843
gbvs,0.5796923409025503,0.547138842900327,0.6324632745061541,0.5322499224990237,0.586402268564081,0.5243101664898916,0.5670428026436712
icf,0.5404503924395102,0.5208132441612816,0.5722832433326388,0.4805003828209597,0.5343478956175232,0.49389400120911836,0.523714859930172
ik,0.4834429183724076,0.45822907558470793,0.524315884575626,0.440348714572488,0.4981163320336278,0.43930324077072375,0.47395936098493013
sun,0.43643591507639745,0.4007301702111152,0.49431680675274975,0.37497097898850507,0.44931169744330113,0.3474396825688902,0.4172008751734932
dg,0.6427667528286374,0.6303322400235375,0.6629237525337465,0.623570645000478,0.6370338432275015,0.6237143022682083,0.6367235893136848
mean model,0.5327366453158613,0.5099609191163046,0.5696572962077746,0.48741668589724196,0.5341559660562298,0.4875149754932109,0.5202404146811038
