,0.0,0.3,0.5,0.7
aim,0.7004627252553354,0.7286357318282732,0.7506757992861889,0.7610138203448638
cas,0.697208060723994,0.718744661886844,0.7414203430340693,0.7594297259475754
covsal,0.810961845478912,0.8431358719176494,0.867493025345231,0.8785624707072972
gbvs,0.9367703543563889,0.9560264324288376,0.9712188815376258,0.9783067799323951
icf,0.7387621764381489,0.7620248108120128,0.7767998706457707,0.7820871802081196
ik,0.6236668793667023,0.654673499967799,0.6782485484945687,0.6915311514511705
sun,0.35089234280829945,0.38993713558166593,0.4258043194130745,0.45381602246201586
