,all,person,no person,animal,sports,electronic
aim,0.09820959756726656,0.09765542498578007,0.0954826930346705,0.10255532778113384,0.10010655037484774,0.09453494617419617
cas,0.10471480892791496,0.10289551128707136,0.1032320028527875,0.10882021052101183,0.10257643970192326,0.10173453813048387
covsal,0.09380709554455884,0.09254749210626624,0.09480327677975313,0.09148869229475727,0.09282483768556317,0.09327134781944577
gbvs,0.09049679048656932,0.08967335774271816,0.08951014198675375,0.09057296319858103,0.08837436137646221,0.09000058887620467
icf,0.10748538603019267,0.10514833609070268,0.10829553951421854,0.11274457074116667,0.10788027009659704,0.10459675932805072
ik,0.1098842976985824,0.10816319229779048,0.10696231790780507,0.11508558979056988,0.11079158866192128,0.11007602530986872
sun,0.1009404161876979,0.10168532101794256,0.09866585202714732,0.11190789128918624,0.1076480144141063,0.09471751002050573
