,0.0,0.3,0.5,0.7
all,0.6993080272595517,0.7306359565890617,0.7549070313896972,0.7723000312446221
person,0.7364410124001765,0.7842063460047993,0.8213808979207758,0.8483413115227032
no person,0.6300298094196096,0.6306478842515896,0.6308336925486497,0.6303655666723091
animal,0.6904437802383429,0.702152899927982,0.7117953404989076,0.7190599547186415
sports,0.8826639267497292,0.9039428102642778,0.921129153674184,0.9344881601915324
electronic,0.6638469111783181,0.7096026985223756,0.7453796764674395,0.7711638156040334
