,all,person,no person,animal,sports,electronic
aim,3.0435350556194667,3.0177681992076315,3.0825091313322015,2.9971544954098266,3.062149596635351,3.03746341864292
cas,2.9101427330477705,2.88288549265926,2.957702588864544,2.8659421639565763,2.8834606377020155,2.9070843764290286
covsal,1.7970563761323486,1.7957973695852896,1.7955417936799132,1.7997474966234062,1.7969089687236657,1.8065627856290751
gbvs,2.738503012831642,2.716962220819786,2.772964177636241,2.6880067038833078,2.7436354924988837,2.727591799534823
icf,3.085326421002922,3.0072765398688737,3.2227768528758305,3.0292006293593072,3.2077252143397432,3.0105728607064344
ik,2.911563084765135,2.8715776898580163,2.981604101625285,2.8788077197805904,2.951461392522848,2.9022318735653627
sun,3.0058240869354056,2.9882002259731504,3.029973327520086,2.9771044449570616,3.0582509981466397,3.005415224630513
dg,3.3957059642844127,3.5033439747647512,3.1432591730681465,3.3045259494260035,4.072992386569199,3.241241647336699
