,all,person,no person,animal,sports,electronic
aim,0.4603234588216821,0.4987616891647846,0.3369465063429585,0.40526019605253205,0.4726829284129673,0.487608111171348
cas,0.5466892821680376,0.5669559726383813,0.460656174991628,0.5519222071402982,0.6020333243372046,0.5376029442709693
covsal,0.6568342650647397,0.6756936444538011,0.6018089391660119,0.6334983733195434,0.6889035362302935,0.657238662365954
gbvs,0.5124490232162227,0.5340229462318576,0.4406973246625787,0.5057130253977586,0.5499128551209675,0.5214106177917665
icf,0.6135546347617351,0.6343967934868965,0.5404573670392069,0.6160115988953196,0.6646124789517852,0.6214021068475429
ik,0.5650806375723363,0.5976443811273271,0.4491376143596484,0.5441270640683329,0.6039811881667787,0.5919401790769058
sun,0.5178591910748723,0.5611971696688078,0.4045613465538835,0.4803519474684429,0.5395051682738811,0.5438516950874772
