,icf,icf_face_03,icf_face_05,icf_face_07,dg
all,0.5190749383117391,0.5238012745784341,0.5279324821384663,0.5324804827737757,0.650369366169896
person,0.4988899775679594,0.5061012696965627,0.5124415951834842,0.5195036101747126,0.6393089956891405
no person,0.5567871153984394,0.5568707329248564,0.5568745781619312,0.5567255691873435,0.6710337932901377
animal,0.4570742555718333,0.45881419288587144,0.46021480968966477,0.46193640319152596,0.6312223007685932
sports,0.4834820262596217,0.4869184276032434,0.4900285071846591,0.4933535363342638,0.6410988660649811
electronic,0.5059485088244646,0.5129925214365781,0.5193603685701007,0.526418658861172,0.6331374906225973
