,aim,aim_face_03,aim_face_05,aim_face_07
all,0.6673991331173106,0.6726302913186298,0.673422445813385,0.6741627484719246
person,0.6759302291446199,0.6838919293561726,0.6851015547766663,0.68621793388754
no person,0.6514602265120714,0.6515898298904841,0.6516020107365489,0.6516396783021299
animal,0.65817331383965,0.6600245367932315,0.660316076138272,0.6607010209865999
sports,0.7020191651475816,0.7046415039392622,0.7051294598703709,0.7056783817411655
electronic,0.6602101473015427,0.6667724198391519,0.667844566294344,0.6689274072767455
