,cas,cas_face_03,cas_face_05,cas_face_07
all,0.4951401570912284,0.498340674048906,0.5020394347625056,0.5085048575187292
person,0.4726769999720933,0.47754608833761464,0.4832004164696932,0.49314066897518627
no person,0.5371087578706106,0.5371918320344599,0.537236946564309,0.5372102390402711
animal,0.4307100168483091,0.431867547239251,0.433268520685875,0.4358416272610649
sports,0.4760399978079907,0.478118920900301,0.4805168183517146,0.48492086109902166
electronic,0.4783202529399708,0.4829909624802288,0.4885066283643431,0.49823988274814596
