,aim,aim_face_03,aim_face_05,aim_face_07
all,3.043535055619467,3.040200364085998,3.037304485724813,3.0334278845546225
person,3.017768199207631,3.013031342474674,3.0089095365266534,3.003371275177247
no person,3.082509131332201,3.0826237571810466,3.0827336305523576,3.0828706430016855
animal,2.997154495409827,2.9967741716799545,2.996477819330628,2.9961041800873676
sports,3.062149596635351,3.0604479949270917,3.0589488441684543,3.0568624816473857
electronic,3.0374634186429197,3.0321465837900745,3.0274222388850913,3.0210313025800035
