,ik,ik_face_03,ik_face_05,ik_face_07
all,0.10896755746283984,0.10937179428676203,0.10988429769858239,0.1100763795328225
person,0.1080396224142887,0.10763103729968142,0.10816319229779048,0.10828821094360988
no person,0.10692587025831353,0.10694892188113314,0.10696231790780508,0.10695797250149681
animal,0.11529190481768829,0.1150996758844506,0.11508558979056988,0.11500758208025187
sports,0.11066764424923692,0.11053280644690829,0.11079158866192129,0.11085701743343364
electronic,0.10864234460273858,0.10955961745338323,0.11007602530986871,0.11024367509338605
