,covsal,covsal_face_03,covsal_face_05,covsal_face_07
all,0.502876592088918,0.5108394769965631,0.5177885081673655,0.5232798742735935
person,0.4878826308168262,0.5000061028660693,0.5106906902164855,0.519232595929337
no person,0.5308902667203391,0.5310797999202309,0.5310495776780026,0.5308415277033531
animal,0.4865931422544797,0.48955040721401916,0.492503530058681,0.49500327087448315
sports,0.4744780944479182,0.4796682547615141,0.48469797571524087,0.4893609313059106
electronic,0.48388523863670135,0.4954579114124815,0.5059625560373134,0.5143055783679968
