,ik,ik_face_03,ik_face_05,ik_face_07
all,0.10210580830412679,0.09938849809269441,0.09878148845343297,0.10050261146706105
person,0.09691930134144403,0.09426542916495007,0.09479126554801322,0.09882399023110784
no person,0.10180413792715946,0.10168028569823502,0.10159890976409557,0.10156624691628556
animal,0.10227714494848651,0.10182658955242067,0.10218353470794705,0.10361286022025717
sports,0.09275480084898301,0.09249729671069205,0.09368260144850847,0.09678726638330858
electronic,0.09957622358857522,0.09557748671714847,0.09430292719245299,0.09562163914085502
