,cas,cas_face_03,cas_face_05,cas_face_07
all,2.9101427330477705,2.904707962630255,2.9013910542515116,2.8975849434347176
person,2.88288549265926,2.8747851365402717,2.8697952187153137,2.863843601642104
no person,2.957702588864544,2.9578796514573185,2.9579401392352316,2.9581532089775586
animal,2.8659421639565763,2.865887498699897,2.866022880953133,2.8672585114116322
sports,2.8834606377020155,2.8812939664702877,2.879500822990758,2.874323618191235
electronic,2.907084376429029,2.8993150666007135,2.894629649214617,2.8904287259835177
