,cas,cas_face_03,cas_face_05,cas_face_07
all,4.231367592164063,4.247215487658579,4.2551268312056845,4.257557412699938
person,4.176830570736168,4.2011274200848,4.2133752825777595,4.217664769854406
no person,4.333260770752667,4.3333232283665595,4.333132521456307,4.3320900526462784
animal,3.971037006039345,3.9759864119844845,3.9782746943069793,3.976743998037134
sports,4.297401649227236,4.305444319544973,4.310505806819185,4.30652413599176
electronic,4.264198454228989,4.285499166188824,4.29393806820352,4.294047617603352
