,all,person,no person,animal,sports,electronic
aim,0.09841126084704754,0.09784265482657732,0.09546966504957152,0.10258230005012003,0.1001869835952656,0.0948461338549717
cas,0.10479743791374152,0.10287094658732407,0.10321943544210746,0.10873465890840722,0.10254677941097347,0.10186359575460373
covsal,0.09333922589109199,0.09176151801562477,0.0946740186985162,0.09121696363057054,0.09232769828226726,0.09262318987368033
gbvs,0.09040351414633824,0.08949519443340345,0.0894909684381091,0.0904893862987784,0.0882450022524694,0.08981813904349571
icf,0.1074118506385724,0.1049411987313148,0.10826264388907374,0.11264504807356802,0.10776903363363867,0.10447149628337203
ik,0.1100763795328225,0.10828821094360988,0.1069579725014968,0.11500758208025187,0.11085701743343364,0.11024367509338603
sun,0.10142200684222638,0.10233242707781083,0.09867483198008982,0.1120206031070256,0.10786021945191386,0.09541289034365054
