,cas,cas_face_03,cas_face_05,cas_face_07
all,0.694739697721483,0.6987285785442877,0.7003534780763349,0.701139890664671
person,0.7055373803330414,0.7116243443229688,0.7141091672282648,0.7153078564022843
no person,0.6745660583499743,0.6746350264741358,0.6746533049706208,0.6746694486540352
animal,0.6884240211612458,0.6896738445646619,0.6901779245216468,0.6904952916752712
sports,0.7435623223683014,0.745199579191034,0.7458231571855097,0.7461904478378101
electronic,0.681331936967272,0.6866976675160141,0.6887803759402059,0.6898883451700539
