,sun,sun_face_03,sun_face_05,sun_face_07
all,3.90474051465252,3.932742832533337,3.9423312903078496,3.9412688936227678
person,3.806608497328608,3.849548235516483,3.8645393599355833,3.8639733327702777
no person,4.088083552182825,4.088177832639696,4.087672323731423,4.085682544750785
animal,3.57212349485231,3.581841749178717,3.5843078227323635,3.5826992904763943
sports,3.792474592400955,3.8099541906836962,3.8170243563449833,3.816953844127838
electronic,3.9764772333217913,4.015375395135042,4.027556865776254,4.0210144955750735
