,gbvs,gbvs_face_03,gbvs_face_05,gbvs_face_07
all,0.11829719319309293,0.11598718954292733,0.11389978381809758,0.1114693485207639
person,0.10938527394476781,0.10686786386279797,0.10484217725042058,0.10305526442178156
no person,0.11441746206943415,0.11434932096648862,0.11428241677166069,0.11418755766412705
animal,0.11016819684214137,0.10966419865340821,0.1092878538211385,0.10912158784042984
sports,0.09840814767683206,0.09758459498688447,0.09706764533337278,0.09712656528038072
electronic,0.11420551039514756,0.11100408985445231,0.10802142012781976,0.10452881018486455
