,ik,ik_face_03,ik_face_05,ik_face_07
all,3.8266695376681805,3.8090300991673516,3.799594525610981,3.770485963116571
person,3.7718833152343416,3.7447295199626236,3.7313323148002944,3.688350345781263
no person,3.9282241023694358,3.9285167706452575,3.926442906424512,3.923114627532355
animal,3.562991742236672,3.5685347639703293,3.5610794279374884,3.5464793906890075
sports,3.6903233989328297,3.6013636462611336,3.5910343419615787,3.5698756976840773
electronic,3.879303919486862,3.868062248169224,3.8475829019276655,3.7908867114438
