,icf,icf_face_03,icf_face_05,icf_face_07,dg
all,4.153634251521142,4.156458957260588,4.152867900765154,4.117146498162829,3.62376204601788
person,4.090456614227671,4.094884107264671,4.089554567112873,4.0363761398999545,3.4020959444642096
no person,4.271670955965311,4.271501125368274,4.271158130850437,4.268052219151384,4.037907576545433
animal,3.9624887895396883,3.9613445801836455,3.9579354558550626,3.9248925157406567,3.471154861142175
sports,3.825227242403464,3.8255213112965234,3.8158418154467904,3.771533038571166,2.748589593590129
electronic,4.306452520422279,4.309908646980537,4.302299819193717,4.251067829987198,3.8446173040993523
