,covsal,covsal_face_03,covsal_face_05,covsal_face_07
all,1.7970563761323486,1.8243934255801382,1.8373131038204242,1.963131525188957
person,1.7957973695852896,1.8359700026795522,1.8531708512943141,2.0216762921109948
no person,1.7955417936799132,1.7996325258008303,1.7968117247341517,1.817482535579568
animal,1.799747496623406,1.8368086974505446,1.8303051336739673,1.8686545160361274
sports,1.7969089687236657,1.8104704533613183,1.8207979053848484,1.955452964861965
electronic,1.8065627856290751,1.8426461332115807,1.854582560412935,2.0187974422827595
