,sun,sun_face_03,sun_face_05,sun_face_07
all,0.4192882719873437,0.424239116717017,0.42959826193755596,0.43763170521828887
person,0.38788256088274364,0.3954182595826836,0.4036343967644978,0.4160260991042575
no person,0.477964518810138,0.4780860021203197,0.47810734222215934,0.47799811732978803
animal,0.3469892728223011,0.34876175723889935,0.3507912172634226,0.3540475336594073
sports,0.3465311376016862,0.3494603535562945,0.35275878195984156,0.35820645824181563
electronic,0.4194808691020645,0.4269299730223146,0.435150207170457,0.44708107009658504
