,sun,sun_face_03,sun_face_05,sun_face_07
all,0.09896864557525435,0.10012129886031491,0.1009404161876979,0.10142200684222638
person,0.09915433547906183,0.10058881379428562,0.10168532101794257,0.10233242707781082
no person,0.09858900620665449,0.0986388021704243,0.09866585202714731,0.09867483198008982
animal,0.11209840290774514,0.11185252910893465,0.11190789128918625,0.1120206031070256
sports,0.10680947582375502,0.10730088082622485,0.1076480144141063,0.10786021945191386
electronic,0.0910175877339294,0.0935299255042764,0.09471751002050571,0.09541289034365054
