,aim,aim_face_03,aim_face_05,aim_face_07
all,4.055746419371006,4.0659170537773575,4.0751645032720285,4.0876486434141714
person,3.9562605099180574,3.9717550668068786,3.9858694191066166,4.005013874220135
no person,4.241618974811928,4.241842762652493,4.241997229367646,4.242037700144163
animal,3.82700712589547,3.8306876411954356,3.834077389808267,3.8386906543455437
sports,3.956798088353403,3.9635433918783405,3.969842373595782,3.9786660783527523
electronic,4.169000998275934,4.183491362196784,4.19678289866155,4.214790845597258
