,aim,aim_face_03,aim_face_05,aim_face_07
all,0.3946155686290595,0.3960064420733642,0.3977774486305559,0.4015524790350769
person,0.3640639336697471,0.3661725289321888,0.3688644006582109,0.37462367525060597
no person,0.4516961189704254,0.45174605087671343,0.4517965769850837,0.45186438352396374
animal,0.33587629606618863,0.3363742908250568,0.3370209041994734,0.3384436259798054
sports,0.32316933161068817,0.3240041100434326,0.3250831647473944,0.32744721496743306
electronic,0.39662119085884495,0.3985983389470312,0.4011444730565733,0.40664813475316014
