,sun,sun_face_03,sun_face_05,sun_face_07
all,3.0058240869354056,2.9971587310215173,2.993377948440595,2.9898560647459407
person,2.9882002259731504,2.975832707246026,2.9704957336497158,2.964876289070454
no person,3.029973327520086,3.0304879633812365,3.0303210960121856,3.0306982106265337
animal,2.9771044449570616,2.9762528858377397,2.9764815736666366,2.9773051969858852
sports,3.0582509981466393,3.0535932491241935,3.0504687391546423,3.0473157513097298
electronic,3.005415224630513,2.992602565348933,2.984928420592416,2.977146188372424
