,cas,cas_face_03,cas_face_05,cas_face_07
all,0.49591237696310947,0.49948449497486447,0.5147288940099718,0.5466892821680376
person,0.507008474462662,0.5078245178046689,0.5255222758943674,0.5669559726383813
no person,0.45880534687776076,0.45917068828641655,0.45973206656371546,0.46065617499162803
animal,0.53669990813614,0.5378162258717927,0.5422586931459114,0.5519222071402982
sports,0.5721412542715574,0.5749881303780771,0.5839450707202724,0.6020333243372046
electronic,0.4473082619531251,0.4592930994822101,0.4867528390781855,0.5376029442709693
