,all,person,no person,animal,sports,electronic
aim,0.3946155686290595,0.3640639336697471,0.4516961189704254,0.33587629606618863,0.32316933161068817,0.39662119085884495
cas,0.4951401570912284,0.4726769999720933,0.5371087578706106,0.4307100168483091,0.4760399978079907,0.4783202529399708
covsal,0.502876592088918,0.4878826308168262,0.5308902667203391,0.4865931422544797,0.4744780944479182,0.4838852386367014
gbvs,0.5425151355701296,0.5129197228057927,0.5978091468535853,0.4872396047120776,0.4992927772473592,0.5340935375405046
icf,0.5190749383117391,0.4988899775679594,0.5567871153984394,0.4570742555718333,0.4834820262596217,0.5059485088244646
ik,0.4456752123179037,0.426352769368097,0.4814922881365935,0.39676777160833016,0.4139131897469511,0.4460810100957998
sun,0.4192882719873437,0.3878825608827437,0.47796451881013796,0.3469892728223011,0.3465311376016862,0.4194808691020645
dg,0.6503693661698959,0.6393089956891405,0.6710337932901377,0.6312223007685932,0.6410988660649811,0.6331374906225973
