,cas,cas_face_03,cas_face_05,cas_face_07
all,0.11511857209724544,0.11277355357863336,0.11071758975700993,0.10863347733841686
person,0.11036671187298423,0.10759251303155078,0.10536083132241492,0.1036852743078417
no person,0.1120269765044256,0.11195395820767978,0.11188828465940572,0.11179919334143236
animal,0.11283383720701963,0.11245045408843776,0.11220608108095045,0.11228930284398402
sports,0.10305158460859727,0.10233328491744849,0.10195105195542753,0.10243472099594443
electronic,0.10807485316414292,0.10510471740521422,0.1024945080553006,0.1000945556582144
