,0.0,0.3,0.5,0.7
aim,0.3776737399674923,0.3788169602829645,0.38028116137954854,0.38342991891834083
cas,0.4816660304217005,0.4843426708401269,0.4874614608664067,0.49297635610706986
covsal,0.49443432749419713,0.5011003255284797,0.5071154729788482,0.512003963075779
gbvs,0.5289783207882415,0.5316644073334055,0.5347467716406503,0.5399627389631104
icf,0.5035428036556762,0.5075830698542577,0.5111420568213845,0.5150697100871323
ik,0.4350470402122792,0.44002731533023476,0.44530169155340155,0.45161841976148104
sun,0.3996894385343795,0.40381591037292147,0.40834003455298906,0.4151651639416904
