,all,person,no person,animal,sports,electronic
aim,4.0751645032720285,3.9858694191066166,4.241997229367646,3.834077389808267,3.9698423735957817,4.196782898661549
cas,4.2551268312056845,4.21337528257776,4.333132521456307,3.9782746943069793,4.310505806819185,4.29393806820352
covsal,3.4516017718419763,3.3675638164715638,3.6086124440529614,3.4069400808340218,3.3937492635178472,3.4741251338148214
gbvs,4.520391440720948,4.455874705548385,4.6409300225278605,4.320177846635355,4.510096769985221,4.616520882233456
icf,4.152867900765154,4.089554567112873,4.271158130850437,3.957935455855063,3.8158418154467904,4.302299819193717
ik,3.7995945256109818,3.7313323148002944,3.9264429064245117,3.5610794279374884,3.5910343419615787,3.8475829019276655
sun,3.9423312903078496,3.8645393599355833,4.087672323731423,3.5843078227323635,3.8170243563449833,4.027556865776254
