,gbvs,gbvs_face_03,gbvs_face_05,gbvs_face_07
all,2.738503012831642,2.7347538619472638,2.7313484244595863,2.7271478224875287
person,2.716962220819786,2.7114021241387487,2.706345998131153,2.6999123982947477
no person,2.772964177636241,2.7733592263339473,2.7734397080318147,2.773416935326552
animal,2.6880067038833073,2.689584184095965,2.6899450119216657,2.6904512993253173
sports,2.7436354924988833,2.73900646806151,2.7349470328032313,2.730230294038607
electronic,2.727591799534823,2.7218428945307465,2.7149584624246987,2.706617457295242
