,all,person,no person,animal,sports,electronic
aim,0.11071573585900303,0.09860455487877592,0.11056479476762557,0.09742892306234928,0.08485217825303451,0.1047365525013273
cas,0.11277355357863335,0.10759251303155078,0.11195395820767977,0.11245045408843776,0.10233328491744847,0.10510471740521422
covsal,0.10249881241909968,0.1047979536329666,0.0947977325990998,0.10878988832702323,0.11748740526126035,0.097730298626235
gbvs,0.11598718954292732,0.10686786386279797,0.11434932096648863,0.1096641986534082,0.09758459498688447,0.11100408985445233
icf,0.1182452659046936,0.11257157391975596,0.12144858704992705,0.12550389853493202,0.1179247127661414,0.10839415475399128
ik,0.0993884980926944,0.09426542916495008,0.10168028569823502,0.10182658955242067,0.09249729671069204,0.09557748671714847
sun,0.11930326303020115,0.10937290572549574,0.1184252519828981,0.10979691599881132,0.1024027883449658,0.10380540475086696
