,all,person,no person,animal,sports,electronic
aim,0.3455464458094259,0.34824127624529605,0.3331988307212169,0.36518703676214587,0.3982296074469063,0.3233234569617313
cas,0.4959123769631095,0.5070084744626621,0.4588053468777608,0.53669990813614,0.5721412542715574,0.4473082619531251
covsal,0.6181146127995464,0.6247893299734263,0.6017421840564405,0.624394902713959,0.6636761514237478,0.5946141657044857
gbvs,0.4610121813940341,0.4673590802041776,0.4384884632106315,0.4930947989772442,0.5212190403631404,0.44109721989199546
icf,0.567362970025824,0.5737394459739732,0.5388666290722556,0.6055215728496852,0.6303656407863063,0.5474378103744061
ik,0.4759774551879237,0.4845326352746761,0.4468318178843394,0.5194746982874506,0.5524748404926809,0.4614647886553349
sun,0.41001375650460464,0.4144407633741037,0.40157855714045104,0.4459797934656358,0.4627781627694147,0.3848415574629899
dg,0.7892764151924772,0.8228004196794859,0.6988648748686836,0.8665916775065334,0.8604167175192735,0.7761236342306895
