,icf,icf_face_03,icf_face_05,icf_face_07,dg
all,3.085326421002922,3.0851605238713966,3.0909624623452765,3.1132993059070038,3.3957059642844127
person,3.0072765398688737,3.00666796043463,3.0156013334045757,3.047935745327789,3.503343974764751
no person,3.2227768528758305,3.2235483539245795,3.2237196067648615,3.2264664656343136,3.1432591730681465
animal,3.0292006293593072,3.032705859581654,3.033218787385634,3.067347899215821,3.304525949426004
sports,3.2077252143397432,3.2086284159270635,3.2185494230465617,3.2555757119486968,4.072992386569199
electronic,3.0105728607064344,3.0121829288797293,3.0289961767061344,3.059474876327808,3.241241647336699
