,covsal,covsal_face_03,covsal_face_05,covsal_face_07
all,3.5285935534191646,3.5385797082151536,3.4516017718419763,3.3120875939075343
person,3.477678124055464,3.494179465323103,3.3675638164715633,3.1657376521450056
no person,3.623720401223463,3.621534034651162,3.6086124440529623,3.5855176486118796
animal,3.427408410895372,3.44602505971243,3.4069400808340218,3.3455648449113013
sports,3.4694580509144193,3.4691844596559616,3.3937492635178472,3.283835868553394
electronic,3.584477590416003,3.5979818839293447,3.474125133814821,3.268093418777567
