,all,person,no person,animal,sports,electronic
aim,0.6352405910575464,0.6844886538733987,0.5432289349704417,0.5865032012441583,0.7801503952760452,0.6223497154928005
cas,0.7445564249119013,0.8099991787731338,0.6222877341780493,0.7053882146888609,1.0275860643359318,0.6770348722190902
covsal,0.8517314272015439,0.8959717822704866,0.769075824056385,0.8919017361777797,0.9754823353094552,0.8157862161317081
gbvs,0.9576631070823504,1.0104926595404813,0.8589600447875119,0.9838220018952624,1.1735585834406232,0.9264059747280512
icf,0.8349606653851591,0.904859123708274,0.7043672462634009,0.8074569361926351,1.003500204226037,0.8124890301954086
ik,0.6033819728006145,0.6722236561607063,0.4754567860391786,0.5905021958702581,0.8303291924540341,0.6016953206667269
sun,0.4869175076843158,0.511409367707115,0.4411586194661598,0.34949601342691977,0.5369928968078183,0.5114577602228438
