,gbvs,gbvs_face_03,gbvs_face_05,gbvs_face_07
all,0.46101218139403405,0.4691415773024195,0.4854475327193159,0.5124490232162227
person,0.4673590802041776,0.47632389300070355,0.4973724223178505,0.5340229462318576
no person,0.4384884632106315,0.4386911701340314,0.4392480101026538,0.4406973246625787
animal,0.49309479897724423,0.4937692659965351,0.4973746441757243,0.5057130253977586
sports,0.5212190403631404,0.5231358421373231,0.5318137041960832,0.5499128551209675
electronic,0.44109721989199546,0.45672734070195387,0.4822264597438004,0.5214106177917665
