,aim,aim_face_03,aim_face_05,aim_face_07
all,0.09707370863111614,0.09792516275126596,0.09820959756726656,0.09841126084704754
person,0.09686699747384976,0.09736263308922223,0.09765542498578009,0.09784265482657732
no person,0.0954367887306201,0.09547215404183539,0.0954826930346705,0.09546966504957151
animal,0.10257034992833894,0.10253286473987287,0.10255532778113383,0.10258230005012005
sports,0.09968121395634023,0.10000763956907656,0.10010655037484774,0.1001869835952656
electronic,0.09227385908238668,0.09412702611296188,0.09453494617419615,0.0948461338549717
