,ik,ik_face_03,ik_face_05,ik_face_07
all,2.911563084765135,3.0719915790838552,3.0755857271807927,3.0868117405637037
person,2.871577689858016,3.1173371816425126,3.122522804204546,3.1381614021683615
no person,2.981604101625285,2.9822201993290136,2.982259785700983,2.9830494903261715
animal,2.8788077197805904,2.8861471782669463,2.896108630961262,2.910628664793895
sports,2.951461392522848,3.4027593794871116,3.399311884812042,3.405439338708261
electronic,2.9022318735653627,3.0301254850369843,3.0393224563516106,3.067322606254337
