,ik,ik_face_03,ik_face_05,ik_face_07
all,0.10338183036909712,0.09836460462514418,0.0988356572591176,0.09778966042656251
person,0.1034178058622627,0.09758333962549423,0.09786449655765636,0.09669049819273563
no person,0.0864088976533088,0.0903313405854172,0.09163607319671639,0.09150768240243178
animal,0.10168183656681133,0.09520499931215148,0.09297141591844356,0.08939068631816395
sports,0.10500198700780454,0.10071452390131487,0.10150232502644405,0.10053102790807047
electronic,0.10140115436908793,0.09718031445322639,0.09671379374317106,0.09507837194845796
