,icf,icf_face_03,icf_face_05,icf_face_07,dg
all,0.561043716576745,0.6046061660718705,0.6602976857552223,0.7320964564088869,0.8278465008589556
person,0.5595297648060015,0.6007187161936995,0.6550138432789909,0.7263273302414783,0.827540563666998
no person,0.4820782821068429,0.5316580369996419,0.5721463905867527,0.5913539849991059,0.6838433034273957
animal,0.5501983128252591,0.5728476959372322,0.6015884541940689,0.6411160617268077,0.7178373717930956
sports,0.5697015720166194,0.6276347656059023,0.697403904874266,0.7857435291162269,0.9291101099811118
electronic,0.5519098926867215,0.5956793824359193,0.6525134584707895,0.7223564134028037,0.7739988583789471
