,sun,sun_face_03,sun_face_05,sun_face_07
all,0.3497599861812033,0.3812115361564111,0.4152552781203211,0.46628856869468505
person,0.34609175433898914,0.37827608841794647,0.41336500489496625,0.46628773101880544
no person,0.4639243445358277,0.47256985862903605,0.4740852101339175,0.4663146392195051
animal,0.3227411619213511,0.34647227043055717,0.3736392649799681,0.4172328340289168
sports,0.3310716147846599,0.3569937186487009,0.38618039221814876,0.43438718799637166
electronic,0.34765495927116996,0.3791915317286947,0.41399252371901707,0.4645029144468141
