,cas,cas_face_03,cas_face_05,cas_face_07
all,0.41086450284174014,0.43119612232065907,0.4546928874891993,0.495765163308437
person,0.40791196546746133,0.42870696384427454,0.45285557966344075,0.49530860560985157
no person,0.502754696633068,0.5086648300040559,0.5118744065561724,0.5099743569889065
animal,0.3910595907362477,0.4065558984924614,0.4253112727418597,0.45975844725295967
sports,0.4381672690460471,0.45656377716479235,0.47778290744239543,0.5167545309987542
electronic,0.40562787437901443,0.4254017470079442,0.44875281898451325,0.4899594345514621
