,ik,ik_face_03,ik_face_05,ik_face_07
all,2.8035895649149993,3.725492337638625,3.7394457535844423,3.7780335465954367
person,2.774152456027587,3.7269119445788794,3.740985642464427,3.7780806116692114
no person,3.247741720545698,3.2797814706627544,3.334885134001657,3.4532005364688088
animal,3.2136803658427646,3.2995712833780684,3.4136506021850472,3.5667940467919395
sports,2.6728739055456274,5.669329250744703,5.641321644494648,5.649857867017629
electronic,2.857513573473885,3.366751580089085,3.393622906504346,3.4683961296007517
