,aim,aim_face_03,aim_face_05,aim_face_07
all,0.5889709954611938,0.8197870776784767,0.9941653762991614,1.1138777320086528
person,0.5941578702861939,0.830682831568502,1.0101492175635363,1.1348725772021984
no person,0.4275427483566017,0.48068453314197845,0.49670909205075137,0.46046673363810087
animal,0.5323910121564528,0.7303777475096019,0.883889616146431,0.9891109336088167
sports,0.6782300315134,0.8914210253633049,1.0593405153600768,1.188137729762441
electronic,0.6057164054875624,0.8199451133704797,0.9900586180483059,1.1162665734423638
