,icf,icf_face_03,icf_face_05,icf_face_07,dg
all,2.8225374692059937,2.821994984213778,2.8612626054778416,2.995829789204554,3.6580965668324374
person,2.792785871441356,2.7905073703585934,2.8307469927749462,2.9616533312147197,3.638365971643793
no person,3.3523254202652204,3.4087293098874394,3.428222756642258,3.6681476889160995,3.921541617292814
animal,3.1630024781823556,3.207580413186757,3.2134471131552775,3.588208242258901,4.0054302697790085
sports,2.9327780526706384,2.9412886510375973,3.0416455362726356,3.3722827429460276,4.88424782777182
electronic,2.8351927939430284,2.8436830357578136,2.915535531618953,3.022519991203455,3.424892282975802
