,all,person,no person,animal,sports,electronic
aim,0.0,0.0,0.0,0.0,0.0,0.0
cas,0.08824861806184703,0.08457800853170927,0.13717190548332206,0.08033897758584907,0.08356904242307794,0.07690998743463337
covsal,0.10736193248153886,0.10638455053721778,0.12874757979702106,0.10967776821057366,0.11345427313286464,0.10745303491773728
gbvs,0.09100665799759013,0.08731551379204326,0.13223953738164596,0.07702715142975984,0.08843901158307789,0.08029911182399213
icf,0.09575356599558876,0.09352076359264028,0.13549924332422586,0.08788886469428625,0.09792246408019932,0.08910116320492219
ik,0.08294890320228362,0.08066149009476968,0.1157070805500217,0.07377271322078094,0.08341913768545743,0.07676323409953571
sun,0.08705270883748108,0.08304281008006388,0.12390904096853117,0.07509098081733967,0.08561540600952397,0.07293622101118527
dg,0.07357417713486063,0.07305032213107561,0.08707681368370909,0.07754075224759288,0.07663136867340373,0.07277799731494704
