,sun,sun_face_03,sun_face_05,sun_face_07
all,2.9159374613581335,2.87126034954572,2.848162856796391,2.824380081198102
person,2.8877005692183007,2.8428499720835765,2.820171032243861,2.794769286283529
no person,3.3521517293575767,3.382241769961088,3.3834511746898075,3.4468963948355014
animal,3.192955718659744,3.183293770967024,3.1864098272334465,3.19697279145418
sports,2.8773667826309506,2.832306705527072,2.7998175920717596,2.769299656244627
electronic,2.9246717314512636,2.883748723183139,2.8532093526550297,2.8168600221840587
