,0.0,0.3,0.5,0.7
all,3.2564339792833232,3.3027140242897954,3.2340939419266346,3.0510018179954534
person,3.218112420037536,3.2665190568365996,3.2009706103343922,3.0228660507483047
no person,4.446800435833004,4.4291900521698855,4.264973139440292,3.926655798646489
animal,3.186258557786527,3.2667900371023793,3.186006316115716,2.9734797815800387
sports,3.3692844548296255,3.295506754280647,3.1947546116681926,2.9660769568034815
electronic,3.2619959664785947,3.3119468107826693,3.238540950307002,3.045380993041051
