,covsal,covsal_face_03,covsal_face_05,covsal_face_07
all,1.752651170728054,1.9299889596091446,1.8939930741669577,2.2017060527504655
person,1.7304188662826105,1.9084056545904893,1.8787794462477119,2.186674614135178
no person,2.0638970487640123,2.350205100361209,2.2611970448269165,2.614135566462798
animal,1.8758479183759647,2.3135227259574944,2.1997579856229943,2.3260622922183587
sports,1.6842360874907687,1.8079347526691032,1.7166710705143653,2.253755372170433
electronic,1.7778811132214472,1.935296765761869,1.87002500177375,2.1296520094195714
