,gbvs,gbvs_face_03,gbvs_face_05,gbvs_face_07
all,4.230526106217955,4.304130735473861,4.347550695314677,4.354259264668797
person,4.18441597356109,4.259936423867166,4.305093875153868,4.313697351337451
no person,5.665586357273457,5.679565943641412,5.668910914605123,5.616645342838221
animal,4.21789623824789,4.278267739418875,4.316489353831983,4.328720351584862
sports,4.393629573223016,4.439895357752802,4.471497216301088,4.457901032246587
electronic,4.245376748093806,4.3138349662728634,4.355375741681179,4.358135342920478
