,icf,icf_face_03,icf_face_05,icf_face_07,dg
all,0.09876789092442638,0.09765679177403287,0.09699784750865943,0.0953244644397412,0.08149217662319405
person,0.09751635739568149,0.09619758352945451,0.09547287906243837,0.09371018909644252,0.0804202939657429
no person,0.11504521126073305,0.11585613173480402,0.11452116476034126,0.11243039390831817,0.09156732616635184
animal,0.1020938833681913,0.09956234250675408,0.09793984545181515,0.095475684056163,0.08593290663687311
sports,0.0909019440727863,0.0906070280151258,0.08936749968438994,0.08682370214809275,0.07688437097518616
electronic,0.09995555339380806,0.09784079415759796,0.09686040191288202,0.09473362682814619,0.07732780830021703
