,covsal,covsal_face_03,covsal_face_05,covsal_face_07
all,0.745481651502914,0.765117891461657,0.772181400656384,0.7796885815968119
person,0.7471351544277431,0.7672735385346166,0.7745088483777346,0.7820153394367159
no person,0.694020591087318,0.698028875415462,0.6997455276959831,0.7072741794365356
animal,0.7489342955495638,0.7680343116871313,0.7743874386236419,0.7820745653992693
sports,0.7434665946032897,0.761276162690095,0.7688313051674913,0.7782517828911112
electronic,0.7477590975833281,0.767155282316214,0.7743413774569079,0.7819231379932157
