,cas,cas_face_03,cas_face_05,cas_face_07
all,2.8396289921749447,2.8134398776234733,2.7951787932239216,2.770934535188446
person,2.8128485156345198,2.7867404104280706,2.768385806410903,2.7430631888744172
no person,3.2728453809689744,3.2828430819326404,3.290865971677501,3.325988426067826
animal,3.136531347059639,3.1375523325837413,3.139550550269802,3.1544203861416107
sports,2.7540378467832043,2.7337000600860817,2.715956341728387,2.667822038518972
electronic,2.8512662558578876,2.8274315148575453,2.8103460493218835,2.7920219231812213
