,gbvs,gbvs_face_03,gbvs_face_05,gbvs_face_07
all,2.6570775280743018,2.639147465593572,2.619818117738191,2.5923096635427494
person,2.6321574831040597,2.6137551024887533,2.5942061277056516,2.565910528707616
no person,3.0061069847711455,3.0271629454343305,3.036032453674146,3.051764938160963
animal,2.930254113315052,2.9509393500486305,2.9556154716700265,2.9617701167617425
sports,2.5578729620138665,2.5151929149710135,2.4764661423197922,2.4297246019818526
electronic,2.6921168904991113,2.6755449902476705,2.6501122757014848,2.6140163927660858
