,all,person,no person,animal,sports,electronic
aim,0.9941653762991614,1.0101492175635365,0.4967090920507514,0.883889616146431,1.0593405153600768,0.990058618048306
cas,0.962955867718693,0.9781114324456132,0.49127757774822495,0.8647586048949524,1.15486585894544,0.9568884792939369
covsal,1.1225895045888945,1.1412668411248512,0.5413050511739164,1.0905918344057055,1.1188472350676866,1.137257820647515
gbvs,1.1815732179463192,1.1963973733999242,0.7202091961759489,1.1269103470769943,1.2550289132930772,1.1948325095573158
icf,1.1548725180830377,1.1729010346027473,0.5937809325206389,1.026694376437559,1.2774213371835452,1.1702057183850538
ik,1.0044109796084577,1.0227648670334994,0.43319305464541696,0.9000098342045616,1.1039187068399705,1.0314356490003314
sun,0.8759122335869828,0.8917581894557443,0.3827472805285901,0.6776579652279121,0.8508400921665248,0.9039712415675386
