,covsal,covsal_face_03,covsal_face_05,covsal_face_07
all,0.09118539531370608,0.08991417265242874,0.08798505215037253,0.08229939747371331
person,0.09041277282407881,0.0887999708410631,0.08673368015018144,0.08101980499378977
no person,0.0997403463281045,0.09816423435927131,0.09555300640777693,0.08868419681264915
animal,0.09751141293670804,0.09078923598434485,0.08836929185371221,0.08209650857757322
sports,0.0873403215126039,0.08919742806532911,0.08779798382670254,0.08138669628747769
electronic,0.09164415202435147,0.09054663194058883,0.08808430531945428,0.0822268186609763
