,gbvs,gbvs_face_03,gbvs_face_05,gbvs_face_07
all,0.08734140027698865,0.08707949935818712,0.0865583276611997,0.08552727740735495
person,0.08680435845742511,0.08620804322063598,0.08555760217231351,0.08446676755756692
no person,0.08894193287266065,0.09038408455366077,0.09034290674835493,0.08864117156274615
animal,0.08719839711726379,0.08448261075429489,0.0836933673635147,0.08215753127380082
sports,0.08731010785844184,0.08906991147934838,0.08925276896802925,0.08818349128815889
electronic,0.08701123118398794,0.08693080135850467,0.08615203039565036,0.08480277436448143
