,sun,sun_face_03,sun_face_05,sun_face_07
all,3.6289479644748655,3.8068236876892603,3.8677473074085666,3.860998321097173
person,3.5802996856503833,3.7637249777009423,3.827711953295779,3.8252945533432343
no person,5.143001540134777,5.148161090386934,5.1137455731636905,4.972187011398318
animal,3.4724844041158844,3.6020551883734937,3.635600721501098,3.614066677065322
sports,3.7411934675027116,3.8958275039641435,3.958435718252701,3.95781175165193
electronic,3.647284553663391,3.8119243398443894,3.8635348122978272,3.8358370944383875
