,cas,cas_face_03,cas_face_05,cas_face_07
all,0.684583748133769,0.7099235317088796,0.7202458763219286,0.725241644727756
person,0.6863419719431992,0.7123382974949349,0.7229505280406348,0.7280699133458083
no person,0.629863517330073,0.634770106734709,0.6360704911989338,0.6372189989618414
animal,0.6792900827895352,0.6960219528568904,0.7027702665152633,0.7070189835448658
sports,0.7326085007699401,0.7470966790692154,0.7526147560392005,0.7558649318114413
electronic,0.6873386095219142,0.7100549166520139,0.718872251737443,0.7235629400020315
